movie,production_budget,worldwide_gross,profit_percent,genres,release_year,month,tconst
Wish I Was Here,6000000,6591365,9.86,"['Comedy', 'Drama']",2014,7,tt2870708
Veronica Mars,6000000,3485383,-41.91,"['Crime', 'Drama', 'Mystery']",2014,3,tt2771372
Snow Flower and the Secret Fan,6000000,11348205,89.14,"['Drama', 'History']",2011,7,tt1541995
Mandy,6000000,1427656,-76.21,"['Action', 'Fantasy', 'Horror']",2018,9,tt6998518
The 5th Quarter,6000000,408159,-93.2,"['Biography', 'Drama', 'Sport']",2011,3,tt1130964
Deadfall,6000000,1673635,-72.11,"['Crime', 'Drama', 'Thriller']",2012,12,tt1667310
Song One,6000000,437089,-92.72,"['Drama', 'Music']",2015,1,tt2182972
Trade of Innocents,5800000,15091,-99.74,"['Drama', 'Thriller']",2012,10,tt1772408
Standing Ovation,5600000,531806,-90.5,['Musical'],2010,7,tt1303803
Khiladi 786,5600000,14683763,162.21,"['Action', 'Comedy']",2012,12,tt2166214
Don Jon,5500000,41268579,650.34,"['Comedy', 'Drama', 'Romance']",2013,9,tt2229499
Hell Fest,5500000,18119231,229.44,['Horror'],2018,9,tt1999890
Le Havre,5500000,13480196,145.09,"['Comedy', 'Drama']",2011,10,tt1508675
Salvation Boulevard,5500000,28468,-99.48,"['Action', 'Comedy', 'Drama']",2011,7,tt1251743
Dum Maaro Dum,5200000,11633427,123.72,"['Action', 'Crime', 'Drama']",2011,4,tt1618430
No Escape,5000000,42844516,756.89,"['Action', 'Thriller']",2015,8,tt1781922
The Lazarus Effect,5000000,38359310,667.19,"['Horror', 'Mystery', 'Sci-Fi']",2015,2,tt2918436
Our Idiot Brother,5000000,25861249,417.22,"['Comedy', 'Drama']",2011,8,tt1637706
The Strangers: Prey at Night,5000000,29960051,499.2,['Horror'],2018,3,tt1285009
The Way Way Back,5000000,26853810,437.08,"['Comedy', 'Drama']",2013,7,tt1727388
"As Above, So Below",5000000,41824066,736.48,"['Adventure', 'Horror', 'Mystery']",2014,8,tt2870612
Race,5000000,23745772,374.92,"['Biography', 'Drama', 'Sport']",2016,2,tt3499096
Still Alice,5000000,41699612,733.99,['Drama'],2015,1,tt3316960
Apollo 18,5000000,26517819,430.36,"['Horror', 'Mystery', 'Sci-Fi']",2011,9,tt1772240
"Paul, Apostle of Christ",5000000,25529498,410.59,"['Adventure', 'Biography', 'Drama']",2018,3,tt7388562
Addicted,5000000,17499242,249.98,"['Drama', 'Thriller']",2014,10,tt2205401
Spring Breakers,5000000,31149251,522.99,"['Comedy', 'Crime', 'Drama']",2013,3,tt2101441
It Comes at Night,5000000,19720203,294.4,"['Horror', 'Mystery']",2017,6,tt4695012
Before I Fall,5000000,18945682,278.91,"['Drama', 'Fantasy', 'Mystery']",2017,3,tt1691916
Fifty Shades of Black,5000000,22113075,342.26,['Comedy'],2016,1,tt4667094
The Belko Experiment,5000000,11792942,135.86,"['Horror', 'Thriller']",2017,3,tt1082807
The Perfect Match,5000000,10182050,103.64,"['Comedy', 'Romance']",2016,3,tt4871980
Fahrenheit 11/9,5000000,6653715,33.07,['Documentary'],2018,9,tt8632862
Sea Rex 3D: Journey to a Prehistoric World,5000000,16515203,230.3,['Documentary'],2010,5,tt1529567
90 Minutes in Heaven,5000000,4816142,-3.68,['Drama'],2015,9,tt4337690
Incarnate,5000000,9371036,87.42,"['Horror', 'Thriller']",2016,12,tt3216348
Table 19,5000000,4620399,-7.59,"['Comedy', 'Drama', 'Romance']",2017,3,tt1412528
Green Room,5000000,3807503,-23.85,"['Horror', 'Music', 'Thriller']",2016,4,tt4062536
Thoroughbreds,5000000,3187302,-36.25,"['Comedy', 'Crime', 'Drama']",2018,3,tt5649108
The Other Side of the Door,5000000,12905107,158.1,['Horror'],2016,3,tt3702652
Everything Must Go,5000000,2821010,-43.58,"['Comedy', 'Drama']",2011,5,tt1531663
Kill the Messenger,5000000,6656705,33.13,"['Biography', 'Crime', 'Drama']",2014,10,tt1216491
Rabbit Hole,5000000,6205034,24.1,['Drama'],2010,12,tt0935075
Jem and the Holograms,5000000,2368937,-52.62,"['Adventure', 'Drama', 'Family']",2015,10,tt3614530
Paterson,5000000,10727536,114.55,"['Comedy', 'Drama', 'Romance']",2016,12,tt5247022
Atlas Shrugged: Who Is John Galt?,5000000,851690,-82.97,"['Drama', 'Mystery', 'Sci-Fi']",2014,9,tt2800038
Ain't Them Bodies Saints,5000000,1075009,-78.5,"['Crime', 'Drama', 'Romance']",2013,8,tt2388637
Jimi: All is By My Side,5000000,927074,-81.46,"['Biography', 'Drama', 'Music']",2014,9,tt2402085
Cop Car,5000000,143658,-97.13,"['Crime', 'Thriller']",2015,8,tt3813310
Rudderless,5000000,567219,-88.66,"['Comedy', 'Drama', 'Music']",2014,10,tt1798243
Area 51,5000000,7556,-99.85,"['Horror', 'Sci-Fi', 'Thriller']",2015,5,tt1519461
Mommy,4900000,17536004,257.88,['Drama'],2015,1,tt3612616
The Awakening,4900000,6924321,41.31,"['Horror', 'Thriller']",2012,8,tt1687901
Only God Forgives,4800000,4494560,-6.36,"['Crime', 'Drama']",2013,7,tt1602613
Take Shelter,4750000,4972016,4.67,"['Drama', 'Horror', 'Thriller']",2011,9,tt1675192
Barfi,4600000,36751984,698.96,"['Comedy', 'Drama', 'Romance']",2012,9,tt2082197
The Lobster,4500000,18019834,300.44,"['Comedy', 'Drama', 'Romance']",2016,3,tt3464902
Blackthorn,4500000,1217307,-72.95,"['Action', 'Adventure', 'Western']",2011,10,tt1629705
Maggie,4500000,1027760,-77.16,"['Drama', 'Horror']",2015,5,tt1881002
The Sweeney,4500000,8000366,77.79,"['Action', 'Crime', 'Drama']",2013,3,tt0857190
Falcon Rising,4500000,11774,-99.74,"['Action', 'Adventure']",2014,9,tt2295722
Animal Kingdom,4200000,8078683,92.35,"['Crime', 'Drama']",2010,8,tt1313092
A Haunted House 2,4000000,21206861,430.17,"['Comedy', 'Fantasy']",2014,4,tt2828996
The Last Exorcism Part II,4000000,25448707,536.22,"['Drama', 'Horror', 'Thriller']",2013,3,tt2034139
The Darkness,4000000,10898293,172.46,"['Horror', 'Thriller']",2016,5,tt1878841
Samsara,4000000,5966671,49.17,"['Documentary', 'Music']",2012,8,tt0770802
The Art of Getting By,4000000,1989035,-50.27,"['Drama', 'Romance']",2011,6,tt1645080
Red State,4000000,1983596,-50.41,"['Action', 'Crime', 'Horror']",2011,9,tt0873886
Holy Motors,4000000,4230426,5.76,"['Drama', 'Fantasy']",2012,10,tt2076220
The Signal,4000000,2665322,-33.37,"['Drama', 'Mystery', 'Sci-Fi']",2014,6,tt2910814
The Face of Love,4000000,1158877,-71.03,"['Drama', 'Mystery', 'Romance']",2014,3,tt1839642
Joe,4000000,373375,-90.67,"['Crime', 'Drama']",2014,4,tt2382396
Late Night,4000000,246305,-93.84,"['Comedy', 'Drama']",2019,6,tt6107548
Desert Dancer,4000000,596335,-85.09,"['Biography', 'Drama', 'Music']",2015,4,tt2403393
Manglehorn,4000000,797439,-80.06,['Drama'],2015,6,tt2893490
Trust,4000000,120016,-97.0,"['Crime', 'Drama', 'Thriller']",2011,4,tt1529572
Stake Land,4000000,679482,-83.01,"['Drama', 'Horror', 'Sci-Fi']",2011,4,tt1464580
13 Sins,4000000,47552,-98.81,"['Horror', 'Thriller']",2014,4,tt2059171
Another Happy Day,4000000,978527,-75.54,"['Comedy', 'Drama']",2011,11,tt1719071
Inescapable,4000000,4327,-99.89,"['Action', 'Drama', 'Mystery']",2013,2,tt1844203
Four Lions,3750000,2436111,-35.04,"['Comedy', 'Crime', 'Drama']",2010,11,tt1341167
Dark Skies,3500000,27704111,691.55,"['Horror', 'Sci-Fi', 'Thriller']",2013,2,tt2387433
Forever My Girl,3500000,16376066,367.89,"['Drama', 'Music', 'Romance']",2018,1,tt4103724
First Reformed,3500000,3874772,10.71,"['Drama', 'Mystery', 'Thriller']",2018,5,tt6053438
Believe,3500000,890303,-74.56,['Drama'],2016,12,tt4700756
American Honey,3500000,2611750,-25.38,"['Adventure', 'Drama', 'Romance']",2016,9,tt3721936
The Bronze,3500000,615816,-82.41,"['Comedy', 'Drama', 'Sport']",2016,3,tt3859304
The Masked Saint,3500000,182695,-94.78,"['Action', 'Biography', 'Crime']",2016,1,tt3103166
Time to Choose,3500000,29233,-99.16,['Documentary'],2016,6,tt5001130
Margin Call,3400000,20433227,500.98,"['Drama', 'Thriller']",2011,10,tt1615147
Sorry to Bother You,3200000,18285560,471.42,"['Comedy', 'Fantasy', 'Sci-Fi']",2018,7,tt5688932
Beginners,3200000,14314407,347.33,"['Comedy', 'Drama', 'Romance']",2011,6,tt1532503
The Meddler,3200000,5526942,72.72,"['Comedy', 'Drama', 'Romance']",2016,4,tt4501454
Upgrade,3000000,16553285,451.78,"['Action', 'Sci-Fi', 'Thriller']",2018,6,tt6499752
Before Midnight,3000000,23251930,675.06,"['Drama', 'Romance']",2013,5,tt2209418
Let There Be Light,3000000,7241309,141.38,['Drama'],2017,10,tt5804314
Swiss Army Man,3000000,5837111,94.57,"['Adventure', 'Comedy', 'Drama']",2016,6,tt4034354
Frances Ha,3000000,11262769,275.43,"['Comedy', 'Drama', 'Romance']",2013,5,tt2347569
Please Give,3000000,4570178,52.34,"['Comedy', 'Drama']",2010,4,tt0878835
Compadres,3000000,7445044,148.17,"['Action', 'Comedy', 'Crime']",2016,4,tt3367294
Letters to God,3000000,3237452,7.92,"['Drama', 'Family']",2010,4,tt1462054
Tusk,3000000,1887554,-37.08,"['Comedy', 'Drama', 'Horror']",2014,9,tt3099498
The Wall,3000000,4495262,49.84,"['Action', 'Drama', 'Thriller']",2017,5,tt4218696
Damsels in Distress,3000000,1324299,-55.86,"['Comedy', 'Drama', 'Romance']",2012,4,tt1667307
Hobo with a Shotgun,3000000,834953,-72.17,"['Action', 'Comedy', 'Horror']",2011,5,tt1640459
The D Train,3000000,772366,-74.25,"['Comedy', 'Drama']",2015,5,tt2690138
Bachelorette,3000000,12577401,319.25,"['Comedy', 'Romance']",2012,9,tt1920849
Creature,3000000,331000,-88.97,['Horror'],2011,9,tt1686018
The Bounce Back,3000000,421404,-85.95,"['Comedy', 'Romance']",2016,12,tt3253232
Tim and Eric's Billion Dollar Movie,3000000,223652,-92.54,['Comedy'],2012,3,tt1855401
Before We Go,3000000,483938,-83.87,"['Comedy', 'Drama', 'Romance']",2015,9,tt0443465
The Divide,3000000,156362,-94.79,"['Drama', 'Horror', 'Sci-Fi']",2012,1,tt1535616
